state,date,Confirmed,Deceaseds,Recovered,Tested,Vaccinated1,Vaccinated2
AN,26-03-2020,1,0,0,0,0,0
AN,27-03-2020,5,0,0,0,0,0
AN,28-03-2020,3,0,0,0,0,0
AN,29-03-2020,0,0,0,0,0,0
AN,30-03-2020,1,0,0,0,0,0
AN,31-03-2020,0,0,0,0,0,0
AN,01-04-2020,0,0,0,0,0,0
AN,02-04-2020,0,0,0,0,0,0
AN,03-04-2020,0,0,0,0,0,0
AN,04-04-2020,0,0,0,0,0,0
AN,05-04-2020,0,0,0,0,0,0
AN,06-04-2020,0,0,0,0,0,0
AN,07-04-2020,0,0,0,0,0,0
AN,08-04-2020,1,0,0,0,0,0
AN,09-04-2020,0,0,10,0,0,0
AN,10-04-2020,0,0,0,0,0,0
AN,11-04-2020,0,0,0,0,0,0
AN,12-04-2020,0,0,0,0,0,0
AN,13-04-2020,0,0,0,0,0,0
AN,14-04-2020,0,0,0,0,0,0
AN,15-04-2020,0,0,0,0,0,0
AN,16-04-2020,0,0,1,0,0,0
AN,17-04-2020,1,0,0,1403,0,0
AN,18-04-2020,2,0,0,0,0,0
AN,19-04-2020,1,0,0,0,0,0
AN,20-04-2020,1,0,0,0,0,0
AN,21-04-2020,1,0,0,0,0,0
AN,22-04-2020,1,0,0,0,0,0
AN,23-04-2020,4,0,0,0,0,0
AN,24-04-2020,7,0,0,1276,0,0
AN,25-04-2020,4,0,0,0,0,0
AN,26-04-2020,0,0,0,0,0,0
AN,27-04-2020,0,0,0,169,0,0
AN,28-04-2020,0,0,4,0,0,0
AN,29-04-2020,0,0,0,0,0,0
AN,30-04-2020,0,0,1,0,0,0
AN,01-05-2020,0,0,0,906,0,0
AN,02-05-2020,0,0,10,0,0,0
AN,03-05-2020,0,0,6,0,0,0
AN,04-05-2020,0,0,0,0,0,0
AN,05-05-2020,0,0,0,0,0,0
AN,06-05-2020,0,0,0,0,0,0
AN,07-05-2020,0,0,1,0,0,0
AN,08-05-2020,0,0,0,0,0,0
AN,09-05-2020,0,0,0,0,0,0
AN,10-05-2020,0,0,0,0,0,0
AN,11-05-2020,0,0,0,0,0,0
AN,12-05-2020,0,0,0,0,0,0
AN,13-05-2020,0,0,0,0,0,0
AN,14-05-2020,0,0,0,0,0,0
AN,15-05-2020,0,0,0,0,0,0
AN,16-05-2020,0,0,0,2923,0,0
AN,17-05-2020,0,0,0,0,0,0
AN,18-05-2020,0,0,0,0,0,0
AN,19-05-2020,0,0,0,288,0,0
AN,20-05-2020,0,0,0,117,0,0
AN,21-05-2020,0,0,0,85,0,0
AN,22-05-2020,0,0,0,96,0,0
AN,23-05-2020,0,0,0,64,0,0
AN,24-05-2020,0,0,0,0,0,0
AN,25-05-2020,0,0,0,36,0,0
AN,26-05-2020,0,0,0,85,0,0
AN,27-05-2020,0,0,0,51,0,0
AN,28-05-2020,0,0,0,20,0,0
AN,29-05-2020,0,0,0,48,0,0
AN,30-05-2020,0,0,0,0,0,0
AN,31-05-2020,0,0,0,139,0,0
AN,01-06-2020,0,0,0,99,0,0
AN,02-06-2020,0,0,0,281,0,0
AN,03-06-2020,0,0,0,209,0,0
AN,04-06-2020,0,0,0,118,0,0
AN,05-06-2020,0,0,0,281,0,0
AN,06-06-2020,0,0,0,343,0,0
AN,07-06-2020,0,0,0,205,0,0
AN,08-06-2020,0,0,0,99,0,0
AN,09-06-2020,1,0,0,518,0,0
AN,10-06-2020,1,0,0,151,0,0
AN,11-06-2020,3,0,0,216,0,0
AN,12-06-2020,0,0,0,471,0,0
AN,13-06-2020,0,0,0,258,0,0
AN,14-06-2020,2,0,0,401,0,0
AN,15-06-2020,1,0,0,162,0,0
AN,16-06-2020,3,0,0,291,0,0
AN,17-06-2020,0,0,0,430,0,0
AN,18-06-2020,1,0,2,383,0,0
AN,19-06-2020,2,0,0,308,0,0
AN,20-06-2020,0,0,0,390,0,0
AN,21-06-2020,1,0,2,114,0,0
AN,22-06-2020,0,0,0,77,0,0
AN,23-06-2020,2,0,3,212,0,0
AN,24-06-2020,6,0,1,271,0,0
AN,25-06-2020,2,0,0,283,0,0
AN,26-06-2020,14,0,2,306,0,0
AN,27-06-2020,0,0,0,268,0,0
AN,28-06-2020,11,0,2,243,0,0
AN,29-06-2020,7,0,0,316,0,0
AN,30-06-2020,7,0,0,299,0,0
AN,01-07-2020,3,0,5,273,0,0
AN,02-07-2020,9,0,1,296,0,0
AN,03-07-2020,7,0,3,348,0,0
AN,04-07-2020,3,0,12,206,0,0
AN,05-07-2020,6,0,6,77,0,0
AN,06-07-2020,16,0,2,186,0,0
AN,07-07-2020,6,0,0,286,0,0
AN,08-07-2020,2,0,0,262,0,0
AN,09-07-2020,7,0,9,209,0,0
AN,10-07-2020,0,0,9,194,0,0
AN,11-07-2020,0,0,0,269,0,0
AN,12-07-2020,7,0,8,132,0,0
AN,13-07-2020,3,0,9,162,0,0
AN,14-07-2020,5,0,20,275,0,0
AN,15-07-2020,5,0,1,177,0,0
AN,16-07-2020,4,0,3,166,0,0
AN,17-07-2020,4,0,9,194,0,0
AN,18-07-2020,4,0,3,250,0,0
AN,19-07-2020,15,0,0,233,0,0
AN,20-07-2020,4,0,6,397,0,0
AN,21-07-2020,5,0,8,341,0,0
AN,22-07-2020,9,0,4,401,0,0
AN,23-07-2020,19,0,7,267,0,0
AN,24-07-2020,19,0,4,433,0,0
AN,25-07-2020,31,0,2,222,0,0
AN,26-07-2020,28,0,4,84,0,0
AN,27-07-2020,20,1,12,499,0,0
AN,28-07-2020,25,0,4,377,0,0
AN,29-07-2020,65,1,5,292,0,0
AN,30-07-2020,42,1,0,398,0,0
AN,31-07-2020,78,2,13,423,0,0
AN,01-08-2020,88,2,12,270,0,0
AN,02-08-2020,98,1,16,272,0,0
AN,03-08-2020,96,2,21,454,0,0
AN,04-08-2020,98,2,14,458,0,0
AN,05-08-2020,99,2,49,334,0,0
AN,06-08-2020,96,2,29,690,0,0
AN,07-08-2020,99,3,70,399,0,0
AN,08-08-2020,129,1,75,158,0,0
AN,09-08-2020,139,0,148,30,0,0
AN,10-08-2020,135,0,61,243,0,0
AN,11-08-2020,139,1,40,109,0,0
AN,12-08-2020,136,0,80,289,0,0
AN,13-08-2020,137,1,95,229,0,0
AN,14-08-2020,149,2,108,156,0,0
AN,15-08-2020,120,0,96,80,0,0
AN,16-08-2020,93,4,98,20,0,0
AN,17-08-2020,46,1,99,443,0,0
AN,18-08-2020,84,1,96,265,0,0
AN,19-08-2020,75,0,108,366,0,0
AN,20-08-2020,76,1,109,184,0,0
AN,21-08-2020,67,1,106,86,0,0
AN,22-08-2020,61,0,109,315,0,0
AN,23-08-2020,52,1,110,390,0,0
AN,24-08-2020,44,2,129,235,0,0
AN,25-08-2020,41,2,139,569,0,0
AN,26-08-2020,40,4,78,564,0,0
AN,27-08-2020,33,1,65,184,0,0
AN,28-08-2020,32,0,70,270,0,0
AN,29-08-2020,31,2,75,307,0,0
AN,30-08-2020,23,1,67,267,0,0
AN,31-08-2020,28,1,61,811,0,0
AN,01-09-2020,28,0,67,1619,0,0
AN,02-09-2020,26,1,44,1032,0,0
AN,03-09-2020,37,1,65,939,0,0
AN,04-09-2020,34,1,40,750,0,0
AN,05-09-2020,35,1,41,749,0,0
AN,06-09-2020,40,0,47,631,0,0
AN,07-09-2020,27,0,46,790,0,0
AN,08-09-2020,33,0,38,1044,0,0
AN,09-09-2020,34,1,43,737,0,0
AN,10-09-2020,39,0,43,1016,0,0
AN,11-09-2020,29,0,36,888,0,0
AN,12-09-2020,27,0,45,890,0,0
AN,13-09-2020,25,0,41,709,0,0
AN,14-09-2020,11,1,35,708,0,0
AN,15-09-2020,17,0,40,836,0,0
AN,16-09-2020,19,0,27,971,0,0
AN,17-09-2020,11,0,33,1067,0,0
AN,18-09-2020,27,0,36,1174,0,0
AN,19-09-2020,13,0,22,646,0,0
AN,20-09-2020,7,0,15,581,0,0
AN,21-09-2020,22,0,18,958,0,0
AN,22-09-2020,18,0,10,625,0,0
AN,23-09-2020,21,0,15,746,0,0
AN,24-09-2020,32,0,9,-599,0,0
AN,25-09-2020,15,0,25,2177,0,0
AN,26-09-2020,15,0,23,890,0,0
AN,27-09-2020,20,1,2,602,0,0
AN,28-09-2020,9,0,29,682,0,0
AN,29-09-2020,18,0,5,792,0,0
AN,30-09-2020,14,0,21,628,0,0
AN,01-10-2020,13,0,15,913,0,0
AN,02-10-2020,10,0,8,761,0,0
AN,03-10-2020,10,0,11,794,0,0
AN,04-10-2020,16,0,7,872,0,0
AN,05-10-2020,15,1,10,906,0,0
AN,06-10-2020,13,0,19,781,0,0
AN,07-10-2020,23,0,18,1321,0,0
AN,08-10-2020,17,1,11,1133,0,0
AN,09-10-2020,24,0,17,1088,0,0
AN,10-10-2020,16,0,20,1132,0,0
AN,11-10-2020,13,0,20,682,0,0
AN,12-10-2020,18,0,6,786,0,0
AN,13-10-2020,13,0,12,848,0,0
AN,14-10-2020,10,0,14,844,0,0
AN,15-10-2020,16,0,21,901,0,0
AN,16-10-2020,10,1,14,838,0,0
AN,17-10-2020,11,0,17,914,0,0
AN,18-10-2020,25,0,20,753,0,0
AN,19-10-2020,18,0,24,947,0,0
AN,20-10-2020,15,0,10,1223,0,0
AN,21-10-2020,27,0,11,1103,0,0
AN,22-10-2020,16,1,24,998,0,0
AN,23-10-2020,23,1,8,1467,0,0
AN,24-10-2020,18,0,23,1112,0,0
AN,25-10-2020,20,0,15,746,0,0
AN,26-10-2020,8,0,14,489,0,0
AN,27-10-2020,21,0,22,1193,0,0
AN,28-10-2020,15,0,20,1070,0,0
AN,29-10-2020,16,1,15,1337,0,0
AN,30-10-2020,12,0,22,1074,0,0
AN,31-10-2020,15,0,24,664,0,0
AN,01-11-2020,8,1,12,1106,0,0
AN,02-11-2020,12,0,20,1342,0,0
AN,03-11-2020,20,0,21,1348,0,0
AN,04-11-2020,17,0,10,1157,0,0
AN,05-11-2020,14,0,12,1233,0,0
AN,06-11-2020,17,0,19,1575,0,0
AN,07-11-2020,21,0,12,1389,0,0
AN,08-11-2020,9,0,15,1209,0,0
AN,09-11-2020,13,0,18,1213,0,0
AN,10-11-2020,14,0,16,1201,0,0
AN,11-11-2020,17,0,12,1207,0,0
AN,12-11-2020,13,1,15,1166,0,0
AN,13-11-2020,11,0,22,1186,0,0
AN,14-11-2020,9,0,11,914,0,0
AN,15-11-2020,9,0,15,1035,0,0
AN,16-11-2020,21,0,16,1346,0,0
AN,17-11-2020,17,0,17,1566,0,0
AN,18-11-2020,19,0,15,1520,0,0
AN,19-11-2020,11,0,20,1626,0,0
AN,20-11-2020,13,0,10,1600,0,0
AN,21-11-2020,14,0,20,1576,0,0
AN,22-11-2020,10,0,12,1125,0,0
AN,23-11-2020,15,0,13,1561,0,0
AN,24-11-2020,11,0,11,1670,0,0
AN,25-11-2020,10,0,15,1607,0,0
AN,26-11-2020,5,0,12,1234,0,0
AN,27-11-2020,7,0,17,1667,0,0
AN,28-11-2020,9,0,10,1499,0,0
AN,29-11-2020,6,0,19,1581,0,0
AN,30-11-2020,6,0,13,1477,0,0
AN,01-12-2020,8,0,16,1691,0,0
AN,02-12-2020,5,0,17,1704,0,0
AN,03-12-2020,6,0,14,1571,0,0
AN,04-12-2020,13,0,14,1597,0,0
AN,05-12-2020,5,0,5,1696,0,0
AN,06-12-2020,11,0,8,1678,0,0
AN,07-12-2020,15,0,7,1635,0,0
AN,08-12-2020,5,0,16,1706,0,0
AN,09-12-2020,5,0,0,1734,0,0
AN,10-12-2020,8,0,5,1742,0,0
AN,11-12-2020,7,0,7,1663,0,0
AN,12-12-2020,7,0,6,2120,0,0
AN,13-12-2020,13,0,8,2078,0,0
AN,14-12-2020,16,0,8,1681,0,0
AN,15-12-2020,8,0,7,1769,0,0
AN,16-12-2020,8,0,10,1788,0,0
AN,17-12-2020,10,0,9,1785,0,0
AN,18-12-2020,9,0,5,1829,0,0
AN,19-12-2020,6,0,7,1965,0,0
AN,20-12-2020,6,0,13,2203,0,0
AN,21-12-2020,7,1,8,1821,0,0
AN,22-12-2020,5,0,9,1924,0,0
AN,23-12-2020,3,0,12,1897,0,0
AN,24-12-2020,5,0,14,2090,0,0
AN,25-12-2020,11,0,6,1726,0,0
AN,26-12-2020,0,0,8,1096,0,0
AN,27-12-2020,12,0,9,1320,0,0
AN,28-12-2020,5,0,5,1028,0,0
AN,29-12-2020,7,0,8,1518,0,0
AN,30-12-2020,5,0,9,1182,0,0
AN,31-12-2020,4,0,6,1014,0,0
AN,01-01-2021,1,0,4,991,0,0
AN,02-01-2021,1,0,7,1094,0,0
AN,03-01-2021,1,0,9,1230,0,0
AN,04-01-2021,0,0,2,1185,0,0
AN,05-01-2021,1,0,8,975,0,0
AN,06-01-2021,0,0,3,1236,0,0
AN,07-01-2021,9,0,5,1680,0,0
AN,08-01-2021,1,0,2,1175,0,0
AN,09-01-2021,0,0,7,1354,0,0
AN,10-01-2021,1,0,2,1159,0,0
AN,11-01-2021,3,0,9,1632,0,0
AN,12-01-2021,3,0,2,1508,0,0
AN,13-01-2021,3,0,5,1619,0,0
AN,14-01-2021,7,0,0,1327,0,0
AN,15-01-2021,3,0,4,1148,0,0
AN,16-01-2021,3,0,0,1568,225,0
AN,17-01-2021,1,0,1,1220,0,0
AN,18-01-2021,5,0,1,1670,217,0
AN,19-01-2021,1,0,0,1321,202,0
AN,20-01-2021,2,0,3,1447,0,0
AN,21-01-2021,0,0,4,1258,388,0
AN,22-01-2021,1,0,3,1325,434,0
AN,23-01-2021,1,0,0,1631,532,0
AN,24-01-2021,0,0,1,1074,21,0
AN,25-01-2021,1,0,9,1448,350,0
AN,26-01-2021,0,0,0,943,0,0
AN,27-01-2021,0,0,5,1149,16,0
AN,28-01-2021,0,0,2,1622,271,0
AN,29-01-2021,0,0,3,1855,71,0
AN,30-01-2021,0,0,1,1392,0,0
AN,31-01-2021,0,0,0,1261,0,0
AN,01-02-2021,0,0,4,1715,0,0
AN,02-02-2021,0,0,0,1732,0,0
AN,03-02-2021,0,0,0,1706,45,0
AN,04-02-2021,0,0,0,1843,166,0
AN,05-02-2021,3,0,0,1500,223,0
AN,06-02-2021,3,0,0,1964,0,0
AN,07-02-2021,1,0,0,1475,236,0
AN,08-02-2021,4,0,0,1571,0,0
AN,09-02-2021,2,0,0,1696,16,0
AN,10-02-2021,0,0,0,2023,0,0
AN,11-02-2021,0,0,0,1471,41,0
AN,12-02-2021,0,0,2,1798,0,0
AN,13-02-2021,2,0,4,2114,192,0
AN,14-02-2021,0,0,0,1544,0,0
AN,15-02-2021,0,0,0,1273,201,182
AN,16-02-2021,4,0,5,1475,0,0
AN,17-02-2021,1,0,1,1737,198,0
AN,18-02-2021,0,0,0,1944,302,313
AN,19-02-2021,0,0,4,1957,106,400
AN,20-02-2021,0,0,1,1538,393,411
AN,21-02-2021,0,0,0,1560,0,0
AN,22-02-2021,1,0,0,1551,596,564
AN,23-02-2021,1,0,0,1395,123,148
AN,24-02-2021,0,0,1,1371,79,100
AN,25-02-2021,0,0,2,1279,390,267
AN,26-02-2021,1,0,0,1483,100,37
AN,27-02-2021,1,0,0,1357,0,0
AN,28-02-2021,2,0,0,1290,0,0
AN,01-03-2021,0,0,0,1300,447,134
AN,02-03-2021,0,0,0,1394,331,33
AN,03-03-2021,2,0,0,1817,0,0
AN,04-03-2021,2,0,1,1839,0,0
AN,05-03-2021,0,0,1,1622,1480,138
AN,06-03-2021,0,0,1,1966,585,138
AN,07-03-2021,0,0,0,1604,210,0
AN,08-03-2021,2,0,2,1914,703,133
AN,09-03-2021,2,0,1,1537,543,39
AN,10-03-2021,0,0,2,1595,316,11
AN,11-03-2021,0,0,0,1418,479,12
AN,12-03-2021,1,0,1,1692,501,85
AN,13-03-2021,1,0,3,2144,192,137
AN,14-03-2021,1,0,0,1501,0,0
AN,15-03-2021,0,0,2,2252,439,204
AN,16-03-2021,1,0,1,1733,272,76
AN,17-03-2021,3,0,0,1606,0,0
AN,18-03-2021,1,0,2,1615,470,407
AN,19-03-2021,2,0,0,1844,415,20
AN,20-03-2021,0,0,0,1674,268,358
AN,21-03-2021,1,0,0,1825,0,0
AN,22-03-2021,0,0,0,1387,376,482
AN,23-03-2021,0,0,3,1477,590,172
AN,24-03-2021,2,0,1,1557,183,67
AN,25-03-2021,1,0,1,1803,443,227
AN,26-03-2021,1,0,0,1763,262,57
AN,27-03-2021,1,0,1,1931,350,20
AN,28-03-2021,2,0,1,1509,0,0
AN,29-03-2021,6,0,0,1319,0,0
AN,30-03-2021,29,0,0,1245,491,236
AN,31-03-2021,2,0,0,1482,0,0
AN,01-04-2021,1,0,4,1592,728,58
AN,02-04-2021,0,0,1,1545,461,-468
AN,03-04-2021,14,0,6,1206,521,44
AN,04-04-2021,11,0,3,1619,643,1
AN,05-04-2021,7,0,11,1444,1094,47
AN,06-04-2021,7,0,9,1467,1582,51
AN,07-04-2021,8,0,10,1744,1410,9
AN,08-04-2021,18,0,7,1638,2477,53
AN,09-04-2021,12,0,1,1552,2302,116
AN,10-04-2021,14,0,10,2113,2179,51
AN,11-04-2021,15,0,2,2049,2182,42
AN,12-04-2021,11,0,10,1649,4513,101
AN,13-04-2021,8,0,4,2075,6497,119
AN,14-04-2021,38,1,24,1874,6588,109
AN,15-04-2021,15,0,4,2054,5162,138
AN,16-04-2021,27,0,28,2004,6592,244
AN,17-04-2021,42,1,36,2250,6129,245
AN,18-04-2021,59,0,54,2347,3817,311
AN,19-04-2021,31,0,12,1668,4365,484
AN,20-04-2021,45,0,31,1753,3267,574
AN,21-04-2021,24,0,33,1935,1912,234
AN,22-04-2021,37,1,33,1461,2476,429
AN,23-04-2021,42,0,49,1692,1824,365
AN,24-04-2021,45,1,52,999,1609,334
AN,25-04-2021,51,0,57,1462,1055,228
AN,26-04-2021,51,0,53,1679,1425,292
AN,27-04-2021,48,0,42,1948,1181,298
AN,28-04-2021,52,1,44,1006,923,259
AN,29-04-2021,59,0,37,1256,1023,205
AN,30-04-2021,74,0,58,1951,1076,300
AN,01-05-2021,97,1,72,1318,557,232
AN,02-05-2021,38,1,25,793,76,47
AN,03-05-2021,66,1,52,778,473,444
AN,04-05-2021,31,0,29,643,340,337
AN,05-05-2021,42,1,49,667,375,501
AN,06-05-2021,32,1,30,382,703,370
AN,07-05-2021,56,0,72,490,685,354
AN,08-05-2021,30,2,26,569,500,289
AN,09-05-2021,26,2,32,397,82,1
AN,10-05-2021,31,2,37,360,545,349
AN,11-05-2021,28,0,24,223,386,210
AN,12-05-2021,44,3,26,544,349,230
AN,13-05-2021,40,2,38,402,264,373
AN,14-05-2021,32,2,12,425,9,0
AN,15-05-2021,26,0,42,209,247,292
AN,16-05-2021,35,3,16,578,1,11
AN,17-05-2021,35,1,46,428,429,5
AN,18-05-2021,36,3,30,293,278,3
AN,19-05-2021,35,3,26,458,503,12
AN,20-05-2021,49,1,16,496,1731,208
AN,21-05-2021,31,2,16,666,766,2
AN,22-05-2021,31,3,24,625,810,1
AN,23-05-2021,24,2,32,625,385,0
AN,24-05-2021,9,1,22,131,451,0
AN,25-05-2021,25,2,49,331,685,2
AN,26-05-2021,23,2,29,461,809,0
AN,27-05-2021,16,1,18,340,611,3
AN,28-05-2021,19,4,39,492,758,5
AN,29-05-2021,28,0,30,544,1013,4
AN,30-05-2021,20,1,23,424,242,0
AN,31-05-2021,21,1,36,625,528,15
AN,01-06-2021,13,3,26,735,731,5
AN,02-06-2021,25,1,36,523,499,4
AN,03-06-2021,27,0,39,615,683,8
AN,04-06-2021,18,2,32,666,501,8
AN,05-06-2021,17,1,24,633,463,16
AN,06-06-2021,14,0,18,789,8,0
AN,07-06-2021,12,1,18,699,507,28
AN,08-06-2021,23,2,23,822,399,26
AN,09-06-2021,14,0,17,879,321,11
AN,10-06-2021,29,0,21,718,887,13
AN,11-06-2021,36,0,11,1130,746,19
AN,12-06-2021,10,1,12,802,857,29
AN,13-06-2021,18,0,29,910,2,0
AN,14-06-2021,8,0,9,656,936,20
AN,15-06-2021,11,0,15,763,909,22
AN,16-06-2021,26,1,30,899,960,23
AN,17-06-2021,29,0,25,728,933,29
AN,18-06-2021,28,0,24,631,930,18
AN,19-06-2021,31,0,34,786,840,37
AN,20-06-2021,12,0,15,772,2,0
AN,21-06-2021,9,0,14,860,758,23
AN,22-06-2021,10,0,4,987,2757,36
AN,23-06-2021,13,0,15,878,3899,35
AN,24-06-2021,2,0,4,703,4885,181
AN,25-06-2021,1,0,31,690,4789,74
AN,26-06-2021,5,0,20,642,5050,455
AN,27-06-2021,9,0,1,959,1683,5
AN,28-06-2021,7,1,20,732,3485,1129
AN,29-06-2021,4,0,10,992,4544,1107
AN,30-06-2021,1,0,12,678,3422,1281
AN,01-07-2021,2,0,0,851,834,1375
AN,02-07-2021,6,0,17,701,1031,1689
AN,03-07-2021,3,0,5,919,995,1886
AN,04-07-2021,4,0,3,955,12,400
AN,05-07-2021,0,0,6,850,956,4093
AN,06-07-2021,5,0,4,900,1103,5822
AN,07-07-2021,4,0,6,999,974,5441
AN,08-07-2021,1,0,2,750,909,4827
AN,09-07-2021,0,0,1,783,795,6317
AN,10-07-2021,0,1,0,952,2041,4847
AN,11-07-2021,0,0,0,737,223,196
AN,12-07-2021,1,0,3,870,1986,5453
AN,13-07-2021,3,0,3,951,6060,4088
AN,14-07-2021,3,0,1,832,2625,3413
AN,15-07-2021,2,0,0,936,1763,2810
AN,16-07-2021,4,0,1,1034,1105,2473
AN,17-07-2021,1,0,1,1358,791,2246
AN,18-07-2021,4,0,4,1243,132,106
AN,19-07-2021,6,0,3,1200,920,2237
AN,20-07-2021,2,0,2,1040,2432,2000
AN,21-07-2021,3,0,4,988,3,52
AN,22-07-2021,4,0,3,676,2846,2064
AN,23-07-2021,0,0,2,1071,3147,1578
AN,24-07-2021,0,0,3,1141,2565,1241
AN,25-07-2021,4,0,3,969,563,81
AN,26-07-2021,1,0,2,1333,1801,1326
AN,27-07-2021,0,0,2,1311,2909,982
AN,28-07-2021,1,0,6,1061,3253,691
AN,29-07-2021,3,0,0,1155,2731,666
AN,30-07-2021,1,0,3,1183,2056,642
AN,31-07-2021,2,0,2,1231,3665,697
AN,01-08-2021,2,0,3,1193,48,71
AN,02-08-2021,0,0,1,1129,834,524
AN,03-08-2021,1,0,1,1646,991,434
AN,04-08-2021,1,0,3,1149,1004,573
AN,05-08-2021,0,0,0,1352,884,395
AN,06-08-2021,0,0,0,1543,877,286
AN,07-08-2021,3,0,1,1326,688,406
AN,08-08-2021,2,0,1,1207,55,21
AN,09-08-2021,0,0,2,1172,976,329
AN,10-08-2021,2,0,0,1347,934,448
AN,11-08-2021,0,0,1,1167,2329,445
AN,12-08-2021,0,0,0,1146,4447,493
AN,13-08-2021,0,0,2,1283,4553,520
AN,14-08-2021,0,0,2,1351,4393,780
AN,15-08-2021,0,0,2,1022,220,18
AN,16-08-2021,1,0,0,1518,1687,509
AN,17-08-2021,0,0,0,1896,1219,523
AN,18-08-2021,1,0,0,2185,821,923
AN,19-08-2021,3,0,0,2033,70,32
AN,20-08-2021,3,0,0,1871,1466,367
AN,21-08-2021,1,0,0,2119,302,496
AN,22-08-2021,0,0,1,1278,138,17
AN,23-08-2021,2,0,0,1862,3012,1104
AN,24-08-2021,1,0,1,2163,2979,796
AN,25-08-2021,0,0,3,2141,2911,958
AN,26-08-2021,0,0,3,1959,2254,461
AN,27-08-2021,0,0,1,2023,1831,519
AN,28-08-2021,0,0,0,1918,0,0
AN,29-08-2021,4,0,2,2075,2840,841
AN,30-08-2021,1,0,1,1702,1346,191
AN,31-08-2021,1,0,0,2006,1690,760
AN,01-09-2021,0,0,0,1995,1451,576
AN,02-09-2021,1,0,0,1908,1291,633
AN,03-09-2021,3,0,1,1624,897,503
AN,04-09-2021,2,0,4,1876,1020,710
AN,05-09-2021,0,0,1,1924,39,15
AN,06-09-2021,0,0,0,2009,864,987
AN,07-09-2021,1,0,0,2158,1158,889
AN,08-09-2021,3,0,1,1882,1374,846
AN,09-09-2021,1,0,3,2129,1537,1163
AN,10-09-2021,2,0,2,1912,1139,678
AN,11-09-2021,1,0,0,1900,1254,1234
AN,12-09-2021,2,0,1,1718,1839,370
AN,13-09-2021,2,0,3,1452,1704,830
AN,14-09-2021,8,0,1,2509,1962,1900
AN,15-09-2021,0,0,2,2262,3770,2355
AN,16-09-2021,3,0,1,2369,840,2548
AN,17-09-2021,1,0,2,2417,3994,3259
AN,18-09-2021,2,0,2,2550,1545,4499
AN,19-09-2021,2,0,3,2582,1140,1596
AN,20-09-2021,2,0,0,2683,448,3461
AN,21-09-2021,5,0,3,2474,424,4108
AN,22-09-2021,8,0,5,2199,347,3491
AN,23-09-2021,1,0,4,2393,322,2077
AN,24-09-2021,1,0,2,2486,330,1671
AN,25-09-2021,1,0,1,2096,310,1843
AN,26-09-2021,0,0,3,1549,29,64
AN,27-09-2021,1,0,3,1342,355,1514
AN,28-09-2021,1,0,1,1496,269,1039
AN,29-09-2021,0,0,2,1686,317,1483
AN,30-09-2021,1,0,1,1921,264,1070
AN,01-10-2021,0,0,1,2159,254,1065
AN,02-10-2021,1,0,0,1823,17,59
AN,03-10-2021,1,0,1,1614,0,10
AN,04-10-2021,1,0,0,1343,293,2649
AN,05-10-2021,2,0,3,1833,262,2224
AN,06-10-2021,1,0,0,1791,293,2352
AN,07-10-2021,2,0,1,1717,206,1864
AN,08-10-2021,0,0,1,1489,186,1625
AN,09-10-2021,3,0,2,1730,168,1595
AN,10-10-2021,1,0,2,1430,21,91
AN,11-10-2021,1,0,1,1410,251,1406
AN,12-10-2021,1,0,3,1701,188,1825
AN,13-10-2021,2,0,1,1605,200,733
AN,14-10-2021,3,0,2,1500,135,1535
AN,15-10-2021,1,0,2,1463,7,117
AN,16-10-2021,0,0,0,942,112,2433
AN,17-10-2021,1,0,2,1368,1,9
AN,18-10-2021,0,0,1,1203,206,2737
AN,19-10-2021,4,0,3,1569,138,2419
AN,20-10-2021,0,0,1,1471,3,156
AN,21-10-2021,0,0,0,1458,133,3668
AN,22-10-2021,0,0,1,1468,186,2869
AN,23-10-2021,2,0,0,1699,124,2738
AN,24-10-2021,0,0,2,1158,5,124
AN,25-10-2021,0,0,1,1335,230,2412
AN,26-10-2021,0,0,1,1144,165,2112
AN,27-10-2021,2,0,1,1172,132,1648
AN,28-10-2021,1,0,0,1301,132,1621
AN,29-10-2021,0,0,1,1348,128,1421
AN,30-10-2021,0,0,1,1260,94,1413
AN,31-10-2021,0,0,0,1376,3,13
AP,12-03-2020,1,0,0,0,0,0
AP,13-03-2020,0,0,0,0,0,0
AP,14-03-2020,0,0,0,0,0,0
AP,15-03-2020,0,0,0,0,0,0
AP,16-03-2020,0,0,0,0,0,0
AP,17-03-2020,0,0,0,0,0,0
AP,18-03-2020,0,0,0,0,0,0
AP,19-03-2020,2,0,0,0,0,0
AP,20-03-2020,0,0,0,0,0,0
AP,21-03-2020,2,0,0,0,0,0
AP,22-03-2020,1,0,0,0,0,0
AP,23-03-2020,1,0,0,0,0,0
AP,24-03-2020,1,0,0,0,0,0
AP,25-03-2020,2,0,0,0,0,0
AP,26-03-2020,1,0,0,0,0,0
AP,27-03-2020,2,0,0,0,0,0
AP,28-03-2020,6,0,0,0,0,0
AP,29-03-2020,2,0,1,0,0,0
AP,30-03-2020,2,0,0,0,0,0
AP,31-03-2020,21,0,0,0,0,0
AP,01-04-2020,67,0,1,0,0,0
AP,02-04-2020,38,0,0,1800,0,0
AP,03-04-2020,15,1,0,0,0,0
AP,04-04-2020,28,0,0,0,0,0
AP,05-04-2020,64,0,3,0,0,0
AP,06-04-2020,47,2,0,0,0,0
AP,07-04-2020,11,1,0,0,0,0
AP,08-04-2020,34,0,1,0,0,0
